CodigoImovel;TipoImovel;SubTipoImovel;TituloImovel;Endereco;Numero;Complemento;Bairro;CEP;Cidade;UF;AreaTotal;AreaUtil;ValorIPTU;PrecoCondominio;PrecoLocacao;PrecoVenda;Ativo;CategoriaImovel;LocalChave;Publicado;Alarme;AndarAlto;AnoConstrucao;AquecimentoEletrico;AquecimentoGas;ArCondicionado;ArmarioAreaDeServico;ArmarioBanheiro;ArmarioCloset;ArmarioCozinha;ArmarioDormitorioEmpregada;ArmarioQuarto;ArmarioSala;ArmarioSuite;Brinquedoteca;Churrasqueira;Churrasqueiras;circuitointernotv;Condominio;Copa;Despensa;Divisoria;DormitorioEmpregada;elevador;ElevadorDeServico;EscritorioArmario;EspacoLeitura;Interfone;jardim;JardimInverno;LajeTecnica;Lavabo;Lavanderia;Madeira;Mezanino;Piscina;piscina_infantil;Piscinas;PisoCeramica;PisoLaminado;PisoPorcelanato;PisoTacoMadeira;pista_skate;Playground;portal_eletronico;PortaoEletronico;Portaria24h;Portaria24Horas;QtdBanheiros;QtdDormitorios;QtdSalas;QtdSuites;QtdVagas;quadra_tenis;QuadraPoliEsportiva;QuartoServico;Sacada;SalaEstar;SalaFitness;SalaGinastica;SalaJantar;salao_jogos;salao_video_cinema;SalaoFestas;salaogourmet;Sauna;sauna_seca;sauna_umida;Seguranca;ServicoCozinha;SPA;TomadaCarroEletrico;Varanda;Vinilico;UnidadeMetrica;Observacao;ObservacoesInternas
AP0229_SMAI;Apartamento;Apartamento padrão;Apartamento para Locação, Cachambi, Rio de Janeiro, RJ;Praça Avaí;19;apto 303;Cachambi;20775-150;Rio de Janeiro;RJ;82;82;1022;820;1500;;Inativo;Padrão;Imobiliária;sem anuncio;;;;;1;1;1;1;;1;;1;1;;;;;;;;1;;;1;;;;;;;;;;1;;;;;;;;;;;;1;;;2;2;1;0;1;;;;;;;;;;;;;;;;;1;;;1;;;[Table];
AP0230_SMAI;Apartamento;Apartamento padrão;Apartamento para Locação, Cachambi, Rio de Janeiro, RJ;Rua Odilon Araújo;249;apto 503;Cachambi;20775-160;Rio de Janeiro;RJ;62;62;;690;1200;;Inativo;Padrão;Imobiliária;sem anuncio;;;;;1;;;1;;1;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;1;;1;2;2;1;0;1;;;;;;;;;;;1;;;;;;1;;;1;;;[Table];
AP0231_SMAI;Apartamento;Apartamento padrão;Apartamento para Locação, Todos os Santos, Rio de Janeiro, RJ;Rua Piauí;77; APTO 405;Todos os Santos;20770-130;Rio de Janeiro;RJ;50;50;727;600;1500;;Inativo;Padrão;Imobiliária;sem anuncio;;;;;1;;;1;;1;;1;1;1;1;;1;;;;;;;1;;;;;;;;;;;;1;;1;1;;;;;1;;1;;1;1;2;1;1;1;;;;1;;1;;;1;1;1;;;;;;1;;;;;;[Table];
AP0232_SMAI;Apartamento;Apartamento padrão;Apartamento para Locação, Todos os Santos, Rio de Janeiro, RJ;Rua Getúlio;75;até 99999 - lado ímpar;Todos os Santos;20775-000;Rio de Janeiro;RJ;64;64;1095;836;1600;;Inativo;Padrão;Imobiliária;sem anuncio;;1;;;1;;1;1;;1;;;1;;;1;1;;;;;;;1;;;;;;;;;;;;1;1;1;1;;;;;1;;1;;1;1;2;1;1;1;;1;;;;1;;;1;;1;;1;;1;;1;;;1;;;[Table];
AP0233_SMAI;Apartamento;Apartamento padrão;Apartamento à venda, Taquara, Rio de Janeiro, RJ;Rua Gazeta da Noite;352;;Taquara;22715090;Rio de Janeiro;RJ;70;70;200;300;;250000;Ativo;Padrão;;sem anuncio;;;;1;;;;;;1;;;1;;;;;;Sem nome;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;1;2;1;1;0;;;;;;;;;;;;;;;;;1;;;;;;[Table];
AP0234_SMAI;Apartamento;Apartamento padrão;Excelente apartamento para Locação com dois quartos e dependência completa, Cachambi, Rio de Janeiro, RJ;Rua Ferreira de Andrade;29;apto 302;Cachambi;20780-200;Rio de Janeiro;RJ;85;85;1113;1000;700;;Inativo;Padrão;Imobiliária;sem anuncio;;;;1;;;;1;;1;;;1;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;;;1;;1;;1;;;2;2;1;0;1;;;1;;;;;;1;;1;;;;;;1;;;;;;[Table];
AP0235_SMAI;Apartamento;Apartamento padrão;Apartamento para locação, Méier, Rio de Janeiro, RJ;Rua Mossoró;68;apto 108;Méier;20775-110;Rio de Janeiro;RJ;52;52;;400;1100;;Inativo;Padrão;Imobiliária;sem anuncio;;;;1;;;;1;;1;;1;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;1;;;1;2;1;0;0;;;;;;;;;;;;;;;;;1;;;;;;[Table];
AP0236_SMAI;Apartamento;Apartamento padrão;Apartamento para locação, Engenho de Dentro, Rio de Janeiro, RJ;Rua Monsenhor Jerônimo;577;apto 301;Engenho de Dentro;20730-110;Rio de Janeiro;RJ;34;34;;200;900;;Inativo;Padrão;Imobiliária;sem anuncio;;;;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;1;1;1;0;0;;;;;;;;;;;;;;;;;1;;;;;;[Table];
AP0237_SMAI;Apartamento;Apartamento padrão;Apartamento para locação, Méier, Rio de Janeiro, RJ;Rua Padre Ildefonso Penalba;364;apto 205;Méier;20775-020;Rio de Janeiro;RJ;69;69;65;4111;1200;;Inativo;Padrão;Imobiliária;sem anuncio;;;;;1;1;;1;;1;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;1;2;1;1;1;;;;;;;;;;;;;;;;;1;;;;;;[Table];
AP0238_SMAI;Apartamento;Apartamento padrão;Apartamento para Locação, Todos os Santos, Rio de Janeiro, RJ;Rua José Bonifácio;140;apto 504;Todos os Santos;20770-240;Rio de Janeiro;RJ;50;50;1032;705;2000;;Ativo;Padrão;Imobiliária;sem anuncio;;;;;1;;1;1;;1;;1;1;1;1;1;1;;;;;;;1;;;;;;;;;1;;;1;1;1;;1;;;;1;;1;;1;1;2;1;1;1;;;;1;;1;;;1;;1;;;1;1;;1;;1;;;;[Table];
